No,Skills,Link Youtube
127,api development,https://youtube.com/playlist?list=PLFNQLcwO1GaZtDuS2RZ5I2npXixZ5j-dG&si=ekPakel2zMc1QrsF
128,frameworks,https://youtu.be/97WRJwkfenI?si=NSt_k8e2kGkNx6Mv
129,statistical modeling,https://youtube.com/playlist?list=PLOyDciljL1BhMbvDIaIssiKRS4wEjgyKd&si=-8N4l3kloGJJSc3C
130,security protocols,https://youtube.com/playlist?list=PLgEKIq2D6tybFkqyjlvYRNzOv0ih_L5KX&si=jnGmVBO0NJzhmFMe
131,threat analysis,https://youtube.com/playlist?list=PLjWEV7pmvSa5UTZlsWp5wRnURNbeMS-fu&si=ICyT6bz5D1cAKfcJ
132,risk management,https://youtube.com/playlist?list=PLrL4pgVAnStlSVGgzpwpOFzKbHlFiXAcY&si=nAsv4Lne6W46kenF
133,incident response,https://youtu.be/UdUGortZN4o?si=PFTghwjVuDARvRRB
134,network design,https://youtu.be/T8F5F9Jt8Yk?si=iRgZfzoC8byyTSCy
135,cloud networking,https://youtube.com/playlist?list=PLOspHqNVtKAA_5N3pI49wkH4WsTkeZ_iQ&si=0VJQo_4SSuRIVQJR
136,mysql,https://youtube.com/playlist?list=PL-CtdCApEFH_P2_2zR6pvDublvpD3fF6W&si=Mtr_qXY4qURkrBbS
137,postgresql,https://youtu.be/iEeveYoD0SA?si=EDMryZKazUqmBLNX
138,oracle,https://youtube.com/playlist?list=PLhzwHCJWMbns_pETORPxCQdqxfd-qUqCB&si=3dc1I4qCbywx17XH
139,database design,https://youtu.be/-C2olg3SfvU?si=-gFH02avtsy0Z6xq
140,performance tuning,https://youtu.be/YB2xvYCY4B8?si=tAHKkYl0lp2zL8_G
141,backup and recovery,https://youtu.be/SI98iVL-DNc?si=tIoipM6-wSKV9psL
